Time_h,OD_600nm,Protein_gL
0.0,0.02688882697797034,0.0
0.5,0.07006151991525858,0.0023246330013123556
1.0,0.16950549760508227,0.010004282447663026
1.5,0.2436841549568149,0.019286386608338545
2.0,0.5309462190785822,0.05034330310677947
2.5,0.8872699475863781,0.09495942772394869
3.0,1.2597297684743036,0.14679690952363317
3.5,1.9834943784969323,0.24582221078005959
4.0,3.136166392178434,0.40675986378237294
4.5,5.068481032650541,0.6801400593153984
5.0,8.04019754923275,1.1070326916702158
5.5,11.492243213863189,1.6136353027100423
6.0,11.550841109026326,1.6463637889537348
6.5,11.534949612538915,1.6631536618400833
7.0,11.54989607466083,1.680167915160955
7.5,11.478377356287462,1.6812647692174387
8.0,11.46854857115542,1.6887742165422341
8.5,11.508441744948904,1.701642395995629
9.0,11.475927197209076,1.702266174255324
9.5,11.495140471330329,1.7093532029482983
10.0,11.469376264073558,1.7088144322040493
10.5,11.57198001255913,1.7266883751792401
11.0,11.470380657935275,1.7135255750811171
11.5,11.45496070799204,1.7127753118538804
12.0,11.53854845614553,1.7264920881066432
12.5,11.51414375464506,1.7237874342313178
13.0,11.465942263836425,1.717305587527883
13.5,11.507171870677524,1.724054753646181
14.0,11.489029607550224,1.7217829452974065
14.5,11.477457861506762,1.7203960297326748
15.0,11.50059406369176,1.7241349897301579
15.5,11.395152714647953,1.7085366506426094
