Time_h,OD_600nm,Glucose_gL,Lactate_gL
0.0,0.05423281764366465,9.978835911781676,-0.03644879746694292
0.5,0.054527614514454974,9.977361927427726,0.03033462065741962
1.0,0.10696428115782583,9.71517859421087,0.1269988371785297
1.5,0.17627571936339664,9.368621403183017,0.5742416091290028
2.0,0.18778506384806068,9.311074680759697,0.5255226523623768
2.5,0.28359776101165407,8.83201119494173,0.9636211093202018
3.0,0.4809332673883946,7.845333663058027,1.771295725177737
3.5,0.6698139076517414,6.900930461741293,2.8194369259707948
4.0,0.9508143561970899,5.4959282190145515,3.8271112913638374
4.5,1.4557363452697132,2.971318273651435,5.86860837450069
5.0,2.1335187681537775,0.0,8.58225449121032
5.5,2.9860281073928925,0.0,8.377915635002898
6.0,3.007258868146981,0.0,8.520886359500475
6.5,2.942601592660266,0.0,8.304032987612022
7.0,2.948252465024609,0.0,8.367181395110157
7.5,2.9831313741227707,0.0,8.519686123586911
8.0,2.9696150663899674,0.0,8.57384665799954
8.5,3.0094274199778583,0.0,8.517136828118996
9.0,2.972759277734364,0.0,8.488435171761177
9.5,2.957630888959941,0.0,8.46988963044107
10.0,3.0439694630676466,0.0,8.352147800963257
10.5,2.993226710985404,0.0,8.42801557916053
11.0,3.0020258461406377,0.0,8.453936122904022
11.5,2.957257554413596,0.0,8.605712222621891
