Time_h,OD_600nm,Glucose_gL,Lysine_gL
0.0,0.052276289455262956,19.993496315842105,0.03566256578842517
0.5,0.026602787243222736,20.066849179305077,-0.1896738513972888
1.0,0.07332096455893372,19.93336867268876,0.04573466240172723
1.5,0.12615149282040128,19.782424306227426,0.005006910712883082
2.0,0.0493624691718417,20.00182151665188,-0.06805650336097188
2.5,0.0628843870346045,19.963187465615416,0.06853013576100359
3.0,0.17006658079489503,19.6569526263003,0.17170942698953529
3.5,0.14964878288226885,19.715289191764946,0.15007017355863075
4.0,0.11244037212620467,19.821598936782273,-0.048241539678718436
4.5,0.19313384831612565,19.591046147668212,0.05086953288123609
5.0,0.17958911370161068,19.62974538942397,0.10717726525556236
5.5,0.2243651335412429,19.50181390416788,0.19719173187866018
6.0,0.31458048679894907,19.244055752003003,0.10327142581487035
6.5,0.27378879271364265,19.360603449389593,0.10931341245569963
7.0,0.36500478334605446,19.099986333296986,0.06936923594
7.5,0.5230444425700317,18.64844444979991,0.15069044763195083
8.0,0.6225453457333635,18.36415615504753,0.4084213512299135
8.5,0.8379447051846165,17.748729413758237,0.5858781201054348
9.0,0.9588756423833229,17.403212450333363,0.5121564977752939
9.5,1.156011324788703,16.83996764346085,0.7323597610970327
10.0,1.5714874408159292,15.652893026240204,0.9055849972567227
10.5,1.8186229071595725,14.946791693829793,0.946129685773529
11.0,2.238435634899438,13.747326757430177,1.2866742090648062
11.5,2.658670092346539,12.546656879009888,1.6444722808446195
12.0,3.3070974158199986,10.694007383371432,1.8576159194147186
12.5,4.078089562733901,8.49117267790314,2.4582298300007723
13.0,4.9166661032255785,6.095239705069774,2.518977548577071
13.5,6.018784900917284,2.9463288545220436,3.492924479533114
14.0,5.96996806550406,3.0858055271312566,3.391543601397566
14.5,5.985415312510336,3.0416705356847515,3.361765157816463
15.0,5.9699146693885305,3.0859580874613393,3.3919844601612827
15.5,6.092613909225447,2.735388830784437,3.2541653423830237
16.0,5.999325138763103,3.0019281749625613,3.3776471762237366
16.5,5.947114453552205,3.1511015612794147,3.4054909448952917
17.0,6.04112724560516,2.882493583985255,3.5712906876771005
17.5,5.938957817501449,3.174406235710144,3.3132917310306067
18.0,6.010443179750237,2.970162343570749,3.3251181709965314
18.5,5.902016493806011,3.2799528748399673,3.293833720673553
19.0,5.933590697555078,3.1897408641283462,3.4535920389445383
19.5,6.009843061793456,2.9718769663044107,3.4384997177050867
20.0,6.03692332899977,2.894504774286368,3.3681230247660228
20.5,6.008568414059498,2.975518816972862,3.456222979916763
21.0,5.994217585880588,3.016521183198318,3.4064035182951407
21.5,5.984944815220535,3.0430148136556134,3.4882615363221663
22.0,5.9260739004816285,3.211217427195347,3.287551205173196
22.5,5.964007789580265,3.102834886913527,3.346666807957518
23.0,5.976968061452011,3.0658055387085383,3.347628076945077
23.5,6.052856111310946,2.8489825391115815,3.283851997364472
