Time_h,OD_600nm,Glucose_gL,Acetate_gL
0.0,0.04770316348306275,10.00270216060816,0.035141343057304875
0.5,0.06620367506905486,9.980936852859935,0.02320555589917134
1.0,0.06810915967721462,9.9786951062621,0.011591345041936712
1.5,0.08925424900313661,9.953818530584545,-0.0
2.0,0.13149700868751987,9.904121166249977,0.0
2.5,0.16447788971990882,9.865320129741283,0.0
3.0,0.2868806536555431,9.721316878052303,0.0
3.5,0.2556518573571061,9.758056638403405,0.0
4.0,0.2571969376208246,9.756238896916678,0.0
4.5,0.4094703623733585,9.57709369132546,0.0
5.0,0.4733310663602303,9.501963451340906,0.0
5.5,0.5956888899143781,9.358013070688967,0.0
6.0,0.7949927708806149,9.123537916611042,0.0
6.5,0.901554779885098,8.998170847194002,0.0
7.0,1.182002416337978,8.668232451367084,0.0
7.5,1.4484139823203597,8.354807079623106,0.0
8.0,1.8457813364404032,7.887316074775996,0.0
8.5,2.3444994547730027,7.300588876737644,0.028937954200932224
9.0,2.8445028273952375,6.712349614829132,0.07600525446557137
9.5,3.539442848937342,5.894773118897245,0.14778651349798483
10.0,4.49084554087452,4.77547583426527,0.25406624516920095
10.5,5.644235258152865,3.418546755114275,0.39357740788050943
11.0,7.052356616208418,1.761933392695978,0.5759686542477597
11.5,8.520404639115162,0.03481807162922124,0.7824485566938194
12.0,8.480722460597367,0.08150298753251128,0.8165710300352682
12.5,8.504041515247954,0.054068805590643976,0.8585334800127299
13.0,8.53816239101356,0.013926598807577406,0.9022664099598711
13.5,8.53127761877411,0.022026330853988085,0.9405039771034719
14.0,8.525871353576584,0.028386642851078392,0.9788807030364876
14.5,8.511840193398745,0.04489389011912337,1.0158470701702043
15.0,8.530806091622695,0.02258106867918208,1.0579905868428765
15.5,8.499537798302685,0.05936729611448932,1.091922350114851
16.0,8.511684478830304,0.045077083729054834,1.133033099316473
16.5,8.505994962815201,0.05177063198211762,1.171079093306736
17.0,8.497478005886482,0.061790581310022574,1.2085309090948855
17.5,8.532806305074718,0.02022787638268575,1.2542988105743458
18.0,8.484993732156706,0.07647796216858183,1.2840287589670276
18.5,8.514225350551424,0.042087822880677805,1.3289019715124903
19.0,8.486477958039973,0.07473181407062057,1.3621603711883945
19.5,8.470816700496464,0.09315682294533723,1.3976964073072362
20.0,8.511238410633121,0.04560186984338799,1.4454949271605528
20.5,8.505204136662071,0.05270101569168162,1.4831865431589522
21.0,8.513942604654874,0.04242046511191333,1.5242625694892404
21.5,8.493666335907719,0.0662748989320967,1.5584799206178523
22.0,8.488906474677627,0.0718747356733811,1.5962709927706962
22.5,8.520986660182672,0.03413334096156362,1.6432886383660332
23.0,8.463664754640398,0.10157087689364985,1.6676255066972228
23.5,8.440496825008166,0.12882726469627492,1.7002911618021557
