Time_h,OD_600nm,Glucose_gL,Ethanol_gL
0.0,0.06976860406228379,20.060462791875434,0.007153572612901542
0.5,0.04796794855084341,20.104064102898313,-0.22313286184051434
1.0,0.09941643150859857,20.001167136982804,0.0318831852972182
1.5,0.15802456812819948,19.8839508637436,0.013713883273747875
2.0,0.08829233126383321,20.023415337472333,-0.078229101893146
2.5,0.11043342796855797,19.979133144062885,0.07055771405578896
3.0,0.22814311053949662,19.743713778921006,0.21842875173514206
3.5,0.22058361649669636,19.758832767006606,0.2016532667586466
4.0,0.1990803735524992,19.801839252895,0.005250583874985407
4.5,0.29895618502520277,19.602087629949594,0.14813932893756102
5.0,0.30884080763303173,19.582318384733938,0.22108307001008495
5.5,0.38223350900595476,19.43553298198809,0.35156467081759524
6.0,0.5074013560178132,19.185197287964375,0.31874379663150293
6.5,0.5093007342084048,19.18139853158319,0.34980476312118264
7.0,0.6526597182674134,18.894680563465172,0.38676024904006934
7.5,0.8743869734813636,18.451226053037274,0.5773276137251602
8.0,1.0516760820474393,18.09664783590512,0.9377610560821152
8.5,1.362086170129933,17.475827659740133,1.271501555974022
9.0,1.599063473333645,17.00187305333271,1.3419561138422471
9.5,1.9379385072520021,16.324122985495997,1.7544979463160042
10.0,2.5265354581570127,15.146929083685976,2.220045514846075
10.5,2.985121189715376,14.229757620569249,2.5320970952833264
11.0,3.663199854602195,12.873600290795611,3.2430194296928168
11.5,4.398881040019411,11.402237919961177,4.022796592664068
12.0,5.432595867088165,9.33480826582367,4.795753676468354
12.5,6.674179233578009,6.851641532843981,6.073225675801609
13.0,8.0875371876257,4.024925624748601,6.9268089584541555
13.5,9.96721646511067,0.2655670697786583,8.962685069037127
14.0,11.96996806550406,0.0,10.691675965777472
14.5,11.985415312510336,0.0,10.666973046212716
15.0,11.96991466938853,0.0,10.692099280103227
15.5,12.092613909225447,0.0,10.594595626842814
16.0,11.999325138763103,0.0,10.687425436103043
16.5,11.947114453552205,0.0,10.69811426534816
17.0,12.041127245605159,0.0,10.894803925518795
17.5,11.938957817501448,0.0,10.603235013923939
18.0,12.010443179750238,0.0,10.638549501485896
18.5,11.902016493806011,0.0,10.571639140066956
19.0,11.93359069755508,0.0,10.741771839569779
19.5,12.009843061793456,0.0,10.751733866580079
20.0,12.036923328999771,0.0,10.690254975723091
20.5,12.008568414059498,0.0,10.769038315964885
21.0,11.994217585880588,0.0,10.714503582227332
21.5,11.984944815220535,0.0,10.793314832751772
22.0,11.92607390048163,0.0,10.573261201045732
22.5,11.964007789580265,0.0,10.644840795962462
23.0,11.97696806145201,0.0,10.650060439993595
23.5,12.052856111310946,0.0,10.61121900536664
