Time_h,OD_600nm,Substrate_gL,Protease_U
0.0,0.07325313454268059,14.961244775762198,0.055276918028246025
0.25,0.029875393560204324,15.033541010732993,0.07378708014058201
0.5,0.1018150830480554,14.91364152825324,0.01676251053059439
0.75,0.18291252642065053,14.778479122632248,0.08675915017873131
1.0,0.055858964904196645,14.990235058493006,0.029253594233221037
1.25,0.07237498346359102,14.962708360894014,-0.01778099103753801
1.5,0.2376140716652147,14.687309880557976,0.06559259460846364
1.75,0.19730886975518497,14.754485217074691,0.11636360227433545
2.0,0.12844789526203126,14.869253507896614,0.023898277096908678
2.25,0.24616480182911096,14.673058663618148,0.12746514315652252
2.5,0.21057820579475878,14.732369657008736,-0.08887161404553548
2.75,0.2652239929350268,14.641293345108288,0.09413992380576655
3.0,0.38880978667181526,14.435317022213642,0.08211431074627162
3.25,0.2981882553990823,14.586352907668196,0.044687283556523086
3.5,0.41316539243103767,14.394724345948271,0.08722111731298265
3.75,0.6282038994108069,14.036326834315322,0.026262334152116734
4.0,0.7412058489280988,13.847990251786502,0.13725757539374417
4.25,1.0294166327670053,13.367638945388325,0.2237389551289884
4.5,1.1539845838137708,13.160025693643716,0.30469161899983
4.75,1.3852207062630282,12.774632156228286,0.25113063033892324
5.0,1.9471636236976237,11.838060627170627,0.3490080445948654
5.25,2.216997120626119,11.388338132289801,0.418311571945997
5.5,2.735309758032246,10.524483736612922,0.5928320574915529
5.75,3.220336697149181,9.716105504751365,0.6605048949128205
6.0,4.028992815286393,8.36834530785601,0.7793105528689267
6.25,4.983089589273482,6.778184017877528,1.0222812895103643
6.5,5.983441389742965,5.110931017095057,1.201542155415995
6.75,7.450713796596484,2.6654770056725248,1.5385750088459413
7.0,9.015560998564057,0.057398335726572824,1.768009545018944
7.25,9.976664500016538,0.0,1.9789497926734194
7.5,9.951863471021648,0.0,1.9707672865477217
7.75,10.148182254760716,0.0,1.9564607035455372
8.0,9.998920222020965,0.0,2.014590058257422
8.25,9.915383125683528,0.0,1.9961293887457001
8.5,10.065803592968255,0.0,2.013416391425774
8.75,9.902332508002319,0.0,1.9687371449317066
9.0,10.01670908760038,0.0,1.9325732804175557
9.25,9.843226390089617,0.0,1.9476130118796555
9.5,9.893745116088125,0.0,1.9616132973912865
9.75,10.01574889886953,0.0,1.963035916312825
10.0,10.059077326399633,0.0,2.003751179696626
10.25,10.013709462495198,0.0,2.0229444353397668
10.5,9.990748137408941,0.0,2.0924589225423147
10.75,9.975911704352857,0.0,2.0039112315121637
11.0,9.881718240770606,0.0,1.9892211676902596
11.25,9.942412463328424,0.0,1.9847601968773765
11.5,9.963148898323217,0.0,1.8966912188996914
11.75,10.084569778097514,0.0,2.015588261847042
12.0,10.027489463165477,0.0,2.0085094031301467
12.25,9.858956787570982,0.0,2.0949534631384608
12.5,10.025926717551584,0.0,1.9955672952712609
12.75,9.969193417566695,0.0,2.00891605063002
13.0,9.945846239975523,0.0,1.9874336595098427
13.25,10.04893410310727,0.0,1.9513529187404774
13.5,10.082479961799676,0.0,2.073637133085686
13.75,10.074502409529297,0.0,2.0524971335401982
14.0,9.932862598142188,0.0,2.0261241169805904
14.25,9.975263009931902,0.0,1.9495832292466435
14.5,10.026501074512286,0.0,2.0754399304492623
14.75,10.07804361016979,0.0,1.9455161688943439
15.0,9.961666060972377,0.0,2.021676066884489
15.25,9.985147281866894,0.0,2.1065522376638777
15.5,9.911493202079518,0.0,1.9327718241593692
15.75,9.904303470073547,0.0,1.952545807534571
